line,trial_id,serotype,assay,csv_value,old_lower,old_upper,new_lower,new_upper,old_participants,new_participants,group,schedule,month
4323,EudraCT 2012-005366-35,6A,GMC,6.29,0,0,4.38,9.04,,51,PHiD-CV,3+1,1
4324,EudraCT 2012-005367-27,3,GMC,0.16,0,0,0.12,0.21,,36,PHiD-CV,2+1,0
4325,EudraCT 2012-005366-35,9V,GMC,0.31,0,0,0.24,0.39,,51,PHiD-CV,3+1,0
4326,EudraCT 2012-005367-27,14,GMC,5.94,0,0,4.75,7.45,,38,PHiD-CV,2+1,1
4327,EudraCT 2012-005366-35,4,GMC,2.03,0,0,1.72,2.4,,51,PHiD-CV,3+1,1
4328,EudraCT 2012-005367-27,1,GMC,0.53,0,0,0.45,0.63,,49,PCV13,2+1,0
4329,EudraCT 2012-005367-27,7F,GMC,0.48,0,0,0.4,0.57,,38,PHiD-CV,2+1,12
4330,EudraCT 2012-005366-35,1,GMC,0.4,0,0,0.31,0.51,,48,PHiD-CV,3+1,12
4331,EudraCT 2012-005367-27,23F,GMC,0.37,0,0,0.27,0.53,,38,PHiD-CV,2+1,12
4332,EudraCT 2012-005366-35,23F,GMC,0.41,0,0,0.31,0.55,,51,PHiD-CV,3+1,0
4333,EudraCT 2012-005366-35,6B,GMC,0.71,0,0,0.58,0.88,,51,PHiD-CV,3+1,0
4334,EudraCT 2012-005366-35,7F,GMC,0.6,0,0,0.5,0.73,,48,PHiD-CV,3+1,12
4335,EudraCT 2012-005367-27,5,GMC,0.34,0,0,0.29,0.4,,49,PCV13,2+1,0
4336,EudraCT 2012-005366-35,18C,GMC,0.23,0,0,0.18,0.3,,44,PCV13,3+1,0
4337,EudraCT 2012-005366-35,4,GMC,0.23,0,0,0.18,0.3,,45,PCV13,3+1,12
4338,EudraCT 2012-005366-35,14,GMC,5.69,0,0,4.64,6.97,,51,PHiD-CV,3+1,1
4339,EudraCT 2012-005366-35,5,GMC,1.24,0,0,1.04,1.48,,51,PHiD-CV,3+1,1
4340,EudraCT 2012-005367-27,19A,GMC,0.38,0,0,0.25,0.57,,38,PHiD-CV,2+1,0
4341,EudraCT 2012-005366-35,1,GMC,2.54,0,0,2.1,3.09,,45,PCV13,3+1,1
4342,EudraCT 2012-005366-35,9V,GMC,2.08,0,0,1.75,2.48,,51,PHiD-CV,3+1,1
4343,EudraCT 2012-005366-35,19F,GMC,1.83,0,0,1.37,2.44,,51,PHiD-CV,3+1,0
4344,EudraCT 2012-005367-27,19F,GMC,1.72,0,0,1.28,2.3,,38,PHiD-CV,2+1,12
4345,EudraCT 2012-005367-27,18C,GMC,2.22,0,0,1.83,2.7,,49,PCV13,2+1,1
4346,EudraCT 2012-005367-27,6B,GMC,0.24,0,0,0.19,0.31,,49,PCV13,2+1,0
4347,EudraCT 2012-005367-27,19F,GMC,16.49,0,0,11.94,22.77,,38,PHiD-CV,2+1,1
4348,EudraCT 2012-005367-27,19F,GMC,1.23,0,0,0.98,1.54,,49,PCV13,2+1,12
4349,EudraCT 2012-005366-35,23F,GMC,5.56,0,0,4.18,7.39,,51,PHiD-CV,3+1,1
4350,EudraCT 2012-005366-35,6B,GMC,1.18,0,0,0.87,1.6,,48,PHiD-CV,3+1,12
4351,EudraCT 2012-005366-35,19A,GMC,9.66,0,0,6.7,13.94,,51,PHiD-CV,3+1,1
4352,EudraCT 2012-005366-35,4,GMC,0.21,0,0,0.17,0.25,,48,PHiD-CV,3+1,12
4353,EudraCT 2012-005366-35,19A,GMC,0.62,0,0,0.45,0.86,,45,PCV13,3+1,0
4354,EudraCT 2012-005366-35,9V,GMC,0.26,0,0,0.21,0.31,,45,PCV13,3+1,0
4355,EudraCT 2012-005367-27,19A,GMC,1.11,0,0,0.86,1.44,,38,PHiD-CV,2+1,12
4356,EudraCT 2012-005366-35,7F,GMC,3.34,0,0,2.83,3.93,,51,PHiD-CV,3+1,1
4357,EudraCT 2012-005366-35,3,GMC,0.83,0,0,0.64,1.08,,45,PCV13,3+1,1
4358,EudraCT 2012-005367-27,5,GMC,0.33,0,0,0.28,0.4,,49,PCV13,2+1,12
4359,EudraCT 2012-005367-27,14,GMC,1.83,0,0,1.28,2.61,,38,PHiD-CV,2+1,0
4360,EudraCT 2012-005366-35,5,GMC,0.31,0,0,0.26,0.38,,45,PCV13,3+1,0
4361,EudraCT 2012-005367-27,6A,GMC,0.68,0,0,0.54,0.86,,49,PCV13,2+1,0
4362,EudraCT 2012-005366-35,19A,GMC,1.3,0,0,0.92,1.82,,48,PHiD-CV,3+1,12
